Status,Score,Match_type,Match_addr,City,Region,Country,LangCode,Addr_type,Distance,lon,lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_City,ARC_State,ORGANIZATI,CITY_1,STATE,COUNTRY_1,AWARDS,FUNDING
U,0,A,,,,,,,0,-71.30260824,42.36861062,0,0,0,0,0,0,WESTON,MA,"JUVOBIO PHARMACEUTICALS, INC.",WESTON,MA,UNITED STATES,4,899025
U,0,A,,,,,,,0,-71.30260824,42.36861062,0,0,0,0,0,0,WESTON,MA,"PHOENICIA BIOSCIENCES, INC.",WESTON,MA,UNITED STATES,1,472008
U,0,A,,,,,,,0,-71.13593184,42.45350654,0,0,0,0,0,0,WINCHESTER,MA,"APPLIED BIOMATH, LLC",WINCHESTER,MA,UNITED STATES,1,469938
U,0,A,,,,,,,0,-71.13593184,42.45350654,0,0,0,0,0,0,WINCHESTER,MA,"AQUILUS PHARMACEUTICALS, INC.",WINCHESTER,MA,UNITED STATES,1,1375173
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,PARAMARIBO,,ACADEMISCH ZIEKENHUIS PARAMARIBO,PARAMARIBO,,SURINAME,1,376951
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,ADDIS ABABA,,ADDIS ABABA UNIVERSITY,ADDIS ABABA,,ETHIOPIA,4,1052932
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,PESSAC Cedex,,ADERA,PESSAC Cedex,,FRANCE,1,749979
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MUTARE,,AFRICA UNIVERSITY,MUTARE,,ZIMBABWE,1,59400
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,KARACHI,,AGA KHAN UNIVERSITY,KARACHI,,PAKISTAN,1,243000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,PAGO PAGO,AS,AMERICAN SAMOA COMMUNITY CANCER COALITIO,PAGO PAGO,AS,UNITED STATES,1,333777
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BEIRUT,,AMERICAN UNIVERSITY OF BEIRUT,BEIRUT,,LEBANON,1,106000
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,LIMA,,ASOCIACION CIVIL IMPACTA SALUD Y EDUCACN,LIMA,,PERU,1,1984088
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,MACQUARIE UNIVERSITY,,AUSTRALIAN HEARING SERVICES,MACQUARIE UNIVERSITY,,AUSTRALIA,1,293296
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,CAMBRIDGE,,BABRAHAM INSTITUTE,CAMBRIDGE,,UNITED KINGDOM,1,381278
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,VARANASI,,BANARAS HINDU UNIVERSITY,VARANASI,,INDIA,1,555597
U,0,A,,,,,,,0,0,0,0,0,0,0,0,0,BARCELONA,,BARCELONA INSTITUTE FOR GLOBAL HEALTH,BARCELONA,,SPAIN,1,591308
