LOCATION,AWARDS,FUNDING
Alabama,654,294964217
Alaska,17,14594777
American Samoa,1,333777
Arizona,382,163447535
Arkansas,108,96652655
California,7720,3686026589
Colorado,991,349974172
Connecticut,1179,510609681
Delaware,75,45371848
District Of Columbia,361,214175791
Florida,1196,531720813
Georgia,1205,520595434
Guam,2,1327275
Hawaii,86,54427971
Idaho,19,14139675
Illinois,1995,818027921
Indiana,630,225125822
Iowa,415,170060863
Kansas,226,91306154
Kentucky,415,163613208
Louisiana,297,141817492
Maine,114,75619398
Maryland,2358,1465624060
Massachusetts,5029,2572549176
Michigan,1530,669562129
Minnesota,1029,520225717
Mississippi,89,53538828
Missouri,1158,508984218
Montana,85,37310308
Nebraska,241,107024633
Nevada,55,31316007
New Hampshire,211,98857889
New Jersey,571,240135510
New Mexico,218,99743752
New York,4953,2205949608
North Carolina,2221,1154347750
North Dakota,36,22471682
Ohio,1694,734159508
Oklahoma,182,90675755
Oregon,616,274614404
Pennsylvania,3464,1570151520
Puerto Rico,77,45386049
Rhode Island,443,150833713
South Carolina,432,179069761
South Dakota,35,21563049
Tennessee,1187,512414823
Texas,2633,1097661190
Utah,455,185147981
Vermont,115,48758135
Virgin Islands,2,1383174
Virginia,816,349479689
Washington,1555,952837210
West Virginia,57,24040666
Wisconsin,902,421776499
Wyoming,15,9477709
Foreign,480,191724082
